county_code,county,n_pixels
0,Aberdeenshire,102
1,Anglesey,11
2,Angus,42
4,Argyllshire,155
6,Ayrshire,55
7,Banffshire,31
8,Bedfordshire,24
9,Berkshire,33
10,Berwickshire,23
11,Brecknockshire,34
12,Buckinghamshire,31
13,Buteshire,10
14,Caernarfonshire,25
15,Caithness,35
16,Cambridgeshire,36
17,Cardiganshire,31
18,Carmarthenshire,41
19,Cheshire,51
20,Clackmannanshire,3
21,Cornwall,57
22,Cromartyshire,11
23,Cumberland,73
24,Denbighshire,30
25,Derbyshire,46
26,Devon,114
27,Dorset,43
29,Dumfriesshire,51
30,Dunbartonshire,15
31,Durham,49
32,East Lothian,13
33,Essex,72
35,Fife,25
36,Flintshire,11
37,Glamorgan,35
38,Gloucestershire,55
39,Hampshire,75
40,Herefordshire,40
41,Hertfordshire,26
42,Huntingdonshire,17
43,Inverness-shire,212
44,Kent,69
45,Kincardineshire,20
46,Kinross-shire,4
47,Kirkcudbrightshire,43
48,Lanarkshire,43
49,Lancashire,86
50,Leicestershire,38
51,Lincolnshire,122
53,Merionethshire,30
54,Middlesex,13
55,Midlothian,18
56,Monmouthshire,24
57,Montgomeryshire,37
58,Morayshire,23
59,Nairnshire,8
60,Norfolk,92
61,Northamptonshire,44
62,Northumberland,95
63,Nottinghamshire,38
64,Oxfordshire,33
65,Peeblesshire,16
66,Pembrokeshire,28
67,Perthshire,129
68,Radnorshire,20
69,Renfrewshire,11
70,Ross-shire,151
71,Roxburghshire,31
72,Rutland,7
73,Selkirkshire,12
74,Shetland,27
75,Shropshire,60
76,Somerset,67
77,Staffordshire,53
78,Stirlingshire,20
79,Suffolk,67
80,Surrey,33
81,Sussex,63
82,Sutherland,107
84,Warwickshire,42
85,West Lothian,5
86,Westmorland,36
87,Wigtownshire,24
88,Wiltshire,60
89,Worcestershire,30
90,Yorkshire,282
