pixel_id,row,col,county_code,county,gi_star,norm,est_pct,R,G,B,hex
0,2,69,74,Shetland,-2.98,0.2577,2.0,58,83,139,#3A538B
1,3,69,74,Shetland,-2.98,0.2577,2.0,58,83,139,#3A538B
2,4,67,74,Shetland,-2.79,0.2721,3.8,56,88,140,#38588C
3,4,68,74,Shetland,-2.98,0.2577,2.0,58,83,139,#3A538B
4,5,67,74,Shetland,-2.79,0.2721,3.8,56,88,140,#38588C
5,6,64,74,Shetland,-3.02,0.2547,1.6,58,83,139,#3A538B
6,6,67,74,Shetland,-2.65,0.2828,5.2,55,91,141,#375B8D
7,7,63,74,Shetland,-3.02,0.2547,1.6,58,83,139,#3A538B
8,7,64,74,Shetland,-3.02,0.2547,1.6,58,83,139,#3A538B
9,7,65,74,Shetland,,,,,,,
10,8,65,74,Shetland,-3.02,0.2547,1.6,58,83,139,#3A538B
11,8,66,74,Shetland,-2.23,0.3147,9.4,51,99,141,#33638D
12,9,64,74,Shetland,-2.23,0.3147,9.4,51,99,141,#33638D
13,9,65,74,Shetland,-2.6,0.2866,5.7,54,92,141,#365C8D
14,9,66,74,Shetland,-2.23,0.3147,9.4,51,99,141,#33638D
15,10,62,74,Shetland,-2.23,0.3147,9.4,51,99,141,#33638D
16,10,63,74,Shetland,-2.23,0.3147,9.4,51,99,141,#33638D
17,10,64,74,Shetland,-2.23,0.3147,9.4,51,99,141,#33638D
18,10,65,74,Shetland,-2.6,0.2866,5.7,54,92,141,#365C8D
19,10,66,74,Shetland,-2.23,0.3147,9.4,51,99,141,#33638D
20,11,63,74,Shetland,-2.23,0.3147,9.4,51,99,141,#33638D
21,11,64,74,Shetland,-3.02,0.2547,1.6,58,83,139,#3A538B
22,11,65,74,Shetland,,,,,,,
23,11,66,74,Shetland,,,,,,,
24,12,66,74,Shetland,-3.58,0.2121,0.0,63,71,136,#3F4788
25,15,65,74,Shetland,-2.79,0.2721,3.8,56,88,140,#38588C
26,16,65,74,Shetland,-2.47,0.2964,7.0,53,94,141,#355E8D
27,35,49,15,Caithness,,,,,,,
28,36,34,82,Sutherland,-1.81,0.3466,13.5,47,107,142,#2F6B8E
29,36,44,15,Caithness,-1.86,0.3428,13.1,48,106,142,#306A8E
30,36,45,15,Caithness,-1.86,0.3428,13.1,48,106,142,#306A8E
31,36,46,15,Caithness,-1.86,0.3428,13.1,48,106,142,#306A8E
32,36,47,15,Caithness,-1.86,0.3428,13.1,48,106,142,#306A8E
33,36,48,15,Caithness,-1.86,0.3428,13.1,48,106,142,#306A8E
34,36,49,15,Caithness,-1.86,0.3428,13.1,48,106,142,#306A8E
35,37,33,82,Sutherland,-1.3,0.3853,18.6,43,116,142,#2B748E
36,37,34,82,Sutherland,-0.93,0.4134,22.3,41,123,142,#297B8E
37,37,35,82,Sutherland,-0.93,0.4134,22.3,41,123,142,#297B8E
38,37,36,82,Sutherland,,,,,,,
39,37,37,82,Sutherland,-1.67,0.3572,14.9,46,110,142,#2E6E8E
40,37,38,82,Sutherland,,,,,,,
41,37,39,82,Sutherland,-1.26,0.3884,19.0,43,117,142,#2B758E
42,37,40,82,Sutherland,-1.81,0.3466,13.5,47,107,142,#2F6B8E
43,37,41,82,Sutherland,-1.49,0.3709,16.7,45,113,142,#2D718E
44,37,42,82,Sutherland,-1.35,0.3815,18.1,44,115,142,#2C738E
45,37,43,82,Sutherland,-1.35,0.3815,18.1,44,115,142,#2C738E
46,37,44,15,Caithness,-1.86,0.3428,13.1,48,106,142,#306A8E
